artist_name,s_no,track_name,year,track_id
Weeknd,12,Can't Feel My Face,2015,
Taylor Swift feat. Kendrick Lamar,15,Bad Blood,2015,
Major Lazer and DJ Snake feat. M0,16,Lean On,2015,
Skrillex and Diplo With Justin Bieber,19,Where Are U Now,2015,
Selena Gomez feat. A$AP Rocky,27,Good For You,2015,
Flo Rida feat. Sage The Gemini and Lookas,32,G.D.F.R.,2015,
Justin Bieber,33,What Do YouÂ Mean?,2015,
Pitbull and Ne-Yo,39,Time Of Our Lives,2015,
Natalie La Rose feat. Jeremih,41,Somebody,2015,
"Rihanna, Kanye West, and Paul McCartney",42,FourFiveSeconds,2015,
Big Sean feat. E-40,47,I Don't F**k With You,2015,
"Nicki Minaj feat. Drake, Lil Wayne and Chris Brown",51,Only,2015,
Ariana Grande and The Weeknd,56,Love Me Harder,2015,
DJ Snake and Alunageorge,59,You Know You Like It,2015,
Beyonce,61,07/11/2020 00:00,2015,
Nicki Minaj feat. Drake and Lil Wayne,66,Truffle Butter,2015,
James Newton Howard feat. Jennifer Lawrence,78,The Hanging Tree,2015,
Chris Brown and Tyga,86,Ayo,2015,
Big Sean feat. Drake,88,Blessings,2015,
Ed Sheeran,92,Don't,2015,
Nicky Jam and Enrique Iglesias,96,El Perdon (Forgiveness),2015,
Ne-Yo feat. Juicy J,97,She Knows,2015,
Katy Perry feat. Juicy J,2,Dark Horse,2014,
Iggy Azalea feat. Charli XCX,4,Fancy,2014,
Eminem feat. Rihanna,16,The Monster,2014,
Iggy Azalea feat. Rita Ora,26,Black Widow,2014,
Disclosure feat. Sam Smith,28,Latch,2014,
Chris Brown feat. Lil Wayne and French Montana or Too $hort or Tyga,30,Loyal,2014,
Enrique Iglesias feat. Descemer Bueno and Gente De Zona,38,Bailando,2014,
Jeremih feat. Yg,42,Don't Tell 'Em,2014,
Paramore,47,Ain't It Fun,2014,
Florida Georgia Line feat. Luke Bryan,49,This Is How We Roll,2014,
Ed Sheeran,52,Don't,2014,
Drake feat. Majid Jordan,55,"Hold On, We're Going Home",2014,
Yg feat. Jeezy and Rich Homie Quan,58,My Hitta,2014,
Rich Gang feat. Young Thug and Rich Homie Quan,72,Lifestyle,2014,
Naughty Boy feat. Sam Smith,82,La La La,2014,
Robin Thicke feat. T.I. and Pharrell,83,Blurred Lines,2014,
Lady Gaga feat. R. Kelly,84,Do What U Want,2014,
Shakira feat. Rihanna,85,Can't Remember To Forget You,2014,
Lil Wayne feat. Drake,89,Believe Me,2014,
"Mike Will Made-It feat. Miley Cyrus, Wiz Khalifa and Juicy J",90,23,2014,
Schoolboy Q feat. BJ The Chicago Kid,96,Studio,2014,
Miranda Lambert and Carrie Underwood,99,Somethin' Bad,2014,
Macklemore & Ryan Lewis Featuring Ray Dalton ,1,Can't Hold Us,2013,
P!nk Featuring Nate Ruess ,3,Just Give Me A Reason,2013,
Robin Thicke Featuring T.I. + Pharrell ,4,Blurred Lines,2013,
Robin Thicke Featuring T.I. + Pharrell ,6,Blurred Lines,2013,
Daft Punk Featuring Pharrell Williams ,9,Get Lucky,2013,
Justin Timberlake Featuring Jay Z ,13,Suit & Tie,2013,
Rihanna Featuring Mikky Ekko ,14,Stay,2013,
Eminem Featuring Rihanna ,16,The Monster,2013,
Drake Featuring Majid Jordan ,17,"Hold On, We're Going Home",2013,
Florida Georgia Line Featuring Nelly ,18,Cruise,2013,
Jay Z Featuring Justin Timberlake ,21,Holy Grail,2013,
Pitbull Featuring Christina Aguilera ,28,Feel This Moment,2013,
Zedd Featuring Foxes ,29,Clarity,2013,
Lil Wayne Featuring Drake & Future ,31,Love Me,2013,
Icona Pop Featuring Charli XCX ,32,I Love It,2013,
Ariana Grande Featuring Mac Miller ,36,The Way,2013,
Lana Del Rey & Cedric Gervais ,38,Summertime Sadness,2013,
Macklemore & Ryan Lewis FeatÂ Mary Lambert ,39,Same Love,2013,
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",40,0,2013,
Blake Shelton FeatÂ Pistol Annies & Friends ,43,Boys 'Round Here,2013,
Fall Out Boy ,44,Â Light Em Up,2013,
will.i.am Featuring Justin Bieber ,48,#thatPOWER,2013,
Calvin Harris Featuring Ellie Goulding ,49,I Need Your Love,2013,
Mariah Carey Featuring Miguel ,50,#Beautiful,2013,
J. Cole Featuring Miguel ,59,Power Trip,2013,
Rocko Featuring Future & Rick Ross ,61,U.O.E.N.O.,2013,
Drake Featuring 2 Chainz & Big Sean ,62,All Me,2013,
Pitbull Featuring Ke$ha ,63,Timber,2013,
YG Featuring Jeezy & Rich Homie Quan ,66,My Hitta,2013,
Chris Brown Featuring Nicki Minaj ,67,Love More,2013,
Olly Murs Featuring Flo Rida ,70,Troublemaker,2013,
Robin Thicke Featuring Kendrick Lamar ,73,Give It 2 U,2013,
Ke$ha ,76,C'Mon,2013,
Wale Featuring Tiara Thomas ,77,Bad,2013,
J. Cole Featuring TLC,79,Crooked Smile,2013,
Wale Featuring Tiara Thomas Or Rihanna ,81,Bad,2013,
Brett Eldredge ,87,Don't Ya,2013,
Sage The Gemini Featuring IamSu ,90,Gas Pedal,2013,
Ace Hood Featuring Future & Rick Ross ,93,Bugatti,2013,
The FiNATTiCZ ,98,Don't Drop That Thun Thun!,2013,
Big Sean Featuring Lil Wayne & Jhene Aiko ,100,Beware,2013,
Gotye feat. Kimbra,1,Somebody That I Used To Know,2012,
Maroon 5 feat. Wiz Khalifa,4,Payphone,2012,
Rihanna feat. Calvin Harris,8,We Found Love,2012,
Drake feat. Lil Wayne,20,The Motto,2012,
LMFAO feat. Lauren Bennett & GoonRock,29,Party Rock Anthem,2012,
Justin Bieber feat. Big Sean,34,As Long as You Love Me,2012,
Maroon 5 feat. Christina Aguilera,36,Moves Like Jagger,2012,
Owl City and Carly Rae Jepsen,38,Good Time,2012,
2 Chainz feat. Drake,54,No Lie,2012,
Chris Brown,56,Don't Wake Me Up,2012,
Big Sean feat. Nicki Minaj,57,Dance (A$$),2012,
Rihanna feat. Chris Brown,79,Birthday Cake,2012,
Havana Brown feat. Pitbull,90,We Run The Night,2012,
LMFAO feat. Lauren Bennett & GoonRock,2,Party Rock Anthem,2011,
Cee Lo Green,7,F**K You (Forget You),2011,
Maroon 5 feat. Christina Aguilera,9,Moves Like Jagger,2011,
Enrique Iglesias feat. Ludacris & DJ Frank E,16,Tonight (I'm Lovin' You),2011,
Rihanna feat. Drake,20,What's My Name?,2011,
Diddy â€“ Dirty Money feat. Skylar Grey,38,Coming Home,2011,
Lil Wayne feat. Cory Gunz,41,6 Foot 7 Foot,2011,
"DJ Khaled feat. Drake, Rick Ross & Lil Wayne",47,I'm On One,2011,
Cobra Starship feat. Sabi,48,You Make Me Feelâ€¦,2011,
Nicki Minaj feat. Drake,50,Moment 4 Life,2011,
Dr. Dre feat. Eminem & Skylar Grey,51,I Need A Doctor,2011,
Far*East Movement feat. Ryan Tedder,58,Rocketeer,2011,
Jason Aldean With Kelly Clarkson,68,Don't You Wanna Stay,2011,
Rihanna feat. Calvin Harris,69,We Found Love,2011,
Far*East Movement feat. Cataracs & Dev,72,Like A G6,2011,
Jason Derulo,87,Don't Wanna Go Home,2011,
Jessie J feat. B.O.B,93,Price Tag,2011,
Lil Wayne feat. Drake,95,She Will,2011,
Big Sean feat. Chris Brown,100,My Last,2011,
Ke$ha,1,TiK ToK,2010,
Eminem feat. Rihanna,7,Love The Way You Lie,2010,
Taio Cruz feat. Ludacris,10,Break Your Heart,2010,
Young Money feat. Lloyd,13,Bedrock,2010,
Lady Gaga feat. Beyonce,16,Telephone,2010,
Jay-Z and Alicia Keys,21,Empire State of Mind,2010,
Far East Movement feat. The Cataracs and Dev,37,Like A G6,2010,
Michael Buble,39,Haven't Met You Yet,2010,
Jay Sean feat. Lil Wayne,41,Down,2010,
Justin Bieber feat. Ludacris,44,Baby,2010,
Rihanna feat. Jeezy,49,Hard,2010,
Jay-Z and Mr. Hudson,50,Young Forever,2010,
Ke$ha feat. 3OH!3,51,Blah Blah Blah,2010,
Jay Sean feat. Sean Paul & Lil Jon,53,Do You Remember,2010,
Ludacris feat. Nicki Minaj,56,My Chick Bad,2010,
"Drake feat. Kanye West, Lil Wayne and Eminem",71,Forever,2010,
Alicia Keyes,78,Un-Thinkable (I'm Ready),2010,
"Kevin Rudolf feat. Birdman, Jay Sean, & Lil Wayne",80,I Made It (Cash Money Heroes),2010,
